annot_id,view_mode,prob_A0,prob_A1,prob_A2,prob_A3,prediction,gold_answer,correct,confidence_margin
val-0,original,0.18605957925319672,0.41929173469543457,0.08788832277059555,0.30676037073135376,1,1,True,0.11253136396408081
val-0,grounded,0.1813490092754364,0.558594286441803,0.08701220899820328,0.17304442822933197,1,1,True,0.3772452771663666
val-0,dual,0.14515429735183716,0.5564333200454712,0.06645648181438446,0.2319559007883072,1,1,True,0.3244774341583252
val-1,original,0.2230755090713501,0.05216361954808235,0.6556553244590759,0.06910556554794312,2,2,True,0.43257981538772583
val-1,grounded,0.22432805597782135,0.06037707254290581,0.6697198152542114,0.04557500779628754,2,2,True,0.44539177417755127
val-1,dual,0.21704749763011932,0.03655676543712616,0.6897755265235901,0.05662022531032562,2,2,True,0.47272801399230957
val-2,original,0.09495039284229279,0.1830216944217682,0.6907166242599487,0.03131131827831268,2,2,True,0.5076949596405029
val-2,grounded,0.1443936973810196,0.19129058718681335,0.5710881948471069,0.0932275801897049,2,2,True,0.3797976076602936
val-2,dual,0.10539009422063828,0.1607007086277008,0.6980520486831665,0.035857174545526505,2,2,True,0.5373513698577881
val-3,original,0.13476602733135223,0.2943560481071472,0.2943560481071472,0.2765219211578369,1,3,False,0.0
val-3,grounded,0.11699266731739044,0.10820052027702332,0.3332810699939728,0.4415256679058075,3,3,True,0.10824459791183472
val-3,dual,0.14117592573165894,0.20864450931549072,0.28967419266700745,0.3605053722858429,3,3,True,0.07083117961883545
val-4,original,0.26180657744407654,0.5288638472557068,0.1638343781232834,0.0454951636493206,1,2,False,0.26705726981163025
val-4,grounded,0.2717337906360626,0.4920463562011719,0.18101376295089722,0.055206067860126495,1,2,False,0.22031256556510925
val-4,dual,0.27697110176086426,0.5422830581665039,0.1414629966020584,0.03928285464644432,1,2,False,0.26531195640563965
val-5,original,0.11459200829267502,0.06736516952514648,0.7830942869186401,0.03494859114289284,2,3,False,0.6685022711753845
val-5,grounded,0.12665921449661255,0.15041154623031616,0.6740977764129639,0.048831481486558914,2,3,False,0.5236862301826477
val-5,dual,0.08613421022891998,0.053065743297338486,0.8300879597663879,0.030712099745869637,2,3,False,0.7439537644386292
val-6,original,0.21100899577140808,0.12404578179121017,0.6299564838409424,0.03498872369527817,2,1,False,0.4189474880695343
val-6,grounded,0.27249228954315186,0.08181701600551605,0.6045505404472351,0.041140180081129074,2,1,False,0.33205825090408325
val-6,dual,0.2516292333602905,0.06564141064882278,0.6526765823364258,0.030052829533815384,2,1,False,0.40104734897613525
val-7,original,0.06948431581258774,0.5727652907371521,0.18306680023670197,0.17468354105949402,1,1,True,0.38969850540161133
val-7,grounded,0.10791045427322388,0.5833584070205688,0.18645255267620087,0.12227856367826462,1,1,True,0.3969058394432068
val-7,dual,0.10070021450519562,0.5794897675514221,0.1686411201953888,0.15116894245147705,1,1,True,0.4108486473560333
