annot_id,view_mode,prediction,gold_rationale,correct
val-0,original,3,3,True
val-0,grounded,3,3,True
val-0,dual,3,3,True
val-1,original,3,3,True
val-1,grounded,3,3,True
val-1,dual,2,3,False
val-2,original,3,1,False
val-2,grounded,3,1,False
val-2,dual,3,1,False
val-3,original,1,0,False
val-3,grounded,1,0,False
val-3,dual,1,0,False
val-4,original,2,1,False
val-4,grounded,2,1,False
val-4,dual,2,1,False
val-5,original,2,1,False
val-5,grounded,2,1,False
val-5,dual,2,1,False
val-6,original,3,3,True
val-6,grounded,3,3,True
val-6,dual,3,3,True
val-7,original,0,2,False
val-7,grounded,0,2,False
val-7,dual,1,2,False
